name,url,description
"Gordon and Breach Publishing Group","http://www.gbhap.com/","publisher in physical sciences, life sciences and medicine, social sciences and humanities, visual and performing arts."
"Gulf Publishing Company","http://www.gulfpub.com/","specialized publishing for the oil and gas industry."
"Hearst Electroweb","http://hearstelectroweb.com/","specializes in the field of scientific books and periodicals in Russian and English.publishers of Electronic Products Magazine, EEM/Electronic Engineers Master Catalog, IC Master Catalog, and the Local Sources Guide."
"HighWire Press","http://highwire.stanford.edu/","delivering scientific and medical research online."
"Image Cascade Publishing","http://www.imagecascade.com/","specializing in academic titles and juvenile fiction, including the Beany Malone series by Lenora Mattingly Weber."
"Imperial College Press","http://www.icpress.co.uk/","publishes scientific, technical, and medical books and journals."
"Insight Pres","http://www.appliedthought.com/InsightPress/index.html","physics books for the lay person and for students."
"Institution of Electrical Engineers: Publishing & Inspec","http://www.iee.org/publishing/","publishers of technical, vocational, and instructional materials.offers reprints of out-of-print books in general and underwater acoustics as well as radio frequency works including communication theory and electronic counter-measures.international publisher of books,&nbsp;journals,&nbsp;magazines, and&nbsp;conference proceedings&nbsp;in&nbsp;many areas of electrical and electronic engineering."
"Irish Academic Press","http://www.iap.ie/","publishers of academic and other quality books on Irish history, heritage and culture."
"Island Press","http://www.islandpress.com/","publisher of books designed to help professionals, students, and citizen activists solve environmental problems."
"James Nicholas Publishers","http://www.jamesnicholaspublishers.com.au/","international publisher of academic journals and books in education and the social sciences."
"Jessica Kingsley Publishers","http://www.jkp.com/","publishers of academic and scholarly books.publishers of books for psychologists, psychiatrists, psychotherapists, social workers, counsellors, arts therapists, teachers and other professionals."
"Jupiter Scientific","http://www.jupiterscientific.org/","dedicated to the promotion of science through books, the Internet, and other means of communication."
"Kumarian Press","http://www.kpbooks.com/","academic and scholarly books on international affairs."
"LCP","http://www.lcpuk.co.uk/","publishes electronic titles that provide easy access and a context for understanding primary sources.educational publisher of foreign and modern language courses, numeracy and literacy resource files, lesson plans, and other planning materials."
"Lake City Publishing Company","http://www.psa1.com/","magazines, reference products and conference organizing for the chemical industry.independent publisher of textbooks, reference works, and new media for college and professional students in the life, health, and behavioral sciences.offers distance-learning program and seminars to design engineers and aircraft enthusiasts. The information about a book on aircraft stress analysis included."
"Latticepress","http://www.latticepress.com/","publishes texts and reference books on silicon processing for the VLSI era, semiconductor manufacturing, and IC fabrication."
"Lawrence Erlbaum Associates Information Center","http://www.erlbaum.com/","books, journals, software, and  alternative media for the academic community. "
"Lexington Books","http://www.lexingtonbooks.com/","publishes scholarly work in disciplines ranging across the humanities and social sciences."
"Lynne Rienner Publishers","http://www.rienner.com/","Internet publishing service provider specializing in academic journals and scholarly research material.publisher of academic and scholarly books and journals in political science, international relations and other social sciences."
"MCB University Press","http://www.mcb.co.uk/","professional and academic management journals."
"Marcel Dekker Inc.","http://www.dekker.com/","publisher of books, journals, handbooks, and encyclopedias in the fields of medical, science, engineering, and more."
"Mayfield Books","http://www.mayfieldbooks.freeserve.co.uk/","horological book publisher from whom titles may be ordered."
"Micro-Press.com","http://www.micro-press.com/","specializes in the publication of academic books and journals in engineering, earth science, and life science.publishes books and college courses on Microstation, architecture, construction, and blueprint reading, and provides links to related distance-education training courses and resource materials."
"Microform Academic Publishers","http://www.microform.co.uk/","offers academic and research material on microfilm and microfiche."
"Noble Publishing","http://www.noblepub.com/","provider of books, software, and videos for the RF and microwave engineer."
"Oilfield Publications Limited","http://www.oilpubs.com/","publishes specialist reference maps, books and vessel registers for the offshore oil & gas industry worldwide."
"Opulus Press","http://www.opuluspress.se/","offers scientific literature, with a focus on ecology and vegetation science."
"Other Press, LLC","http://www.otherpress.com/","independent academic press committed to exploring alternative perspectives in psychoanalysis and cultural theory."
"Parthenon Publishing Group, The","http://www.parthpub.com/","offers textbooks, videos, software, and support materials for occupational and technical training.Prous Science is an information provider in the fields of drug R&D, pharmacology, and medicinal chemistry. Journals, books, and databases covering every aspect of drug development are available. publisher in medicine & environmental science, research texts, textbooks, reference books, dictionaries, atlases, journals, slides, videotapes, The Anatomy Project on CD-ROM."
"Peeters Publishers","http://www.peeters-leuven.be/","international academic publisher."
"Peninsula Publishing","http://www.sound-acoustic-books.com/","publishers of technical, vocational, and instructional materials.offers reprints of out-of-print books in general and underwater acoustics as well as radio frequency works including communication theory and electronic counter-measures."
"PennWell Books","http://store.yahoo.com/pennwell/","self-education books for those interested in science.publisher of technical and training books and videos for the petroleum, electric power, water, dental, and fire engineering industries."
